X Y Z Intensity LaserID T Reflectivity Noise Range 
-61.502739 3.271661 13.928416 30 8 0 11724 875 63145
-59.557148 0.952234 12.854419 30 9 0 10868 545 60936
-60.831760 -1.274244 12.520697 45 10 0 16919 594 62120
-56.152901 2.990023 10.546983 30 12 0 9424 485 57213
-58.884449 0.975403 10.441582 33 13 0 11434 465 59811
-58.205456 -1.171464 9.755805 31 14 0 10559 541 59029
-34.606407 1.851803 5.187401 20 16 0 2301 376 35042
-50.490879 0.846062 7.059282 37 17 0 9271 615 50989
-56.750538 -1.126328 7.384149 27 18 0 8396 619 57240
-57.086700 -3.205635 6.887746 36 19 0 11457 398 57590
-34.646320 1.858184 3.903444 29 20 0 3467 410 34915
-51.285252 0.880862 5.271646 30 21 0 7629 381 51563
-56.797245 -1.098496 5.293908 30 22 0 9498 325 57054
-56.823246 -3.162985 4.760963 17 23 0 5212 348 57110
-44.190308 2.387074 3.345396 44 24 0 8536 422 44381
-49.482319 0.868037 3.272369 34 25 0 8171 551 49598
-54.796280 -1.033008 3.089081 35 26 0 10127 506 54893
-54.943344 -3.029486 2.595961 36 27 0 10737 417 55088
-34.557842 1.873401 1.352515 36 28 0 4193 351 34635
-49.516663 0.891116 1.453421 18 29 0 4277 412 49546
-51.090115 -0.939056 1.023971 34 30 0 8590 474 51109
-70.614693 -3.861439 0.734435 17 31 0 7996 232 70724
-34.588081 1.893809 0.088873 39 32 0 4522 267 34640
-61.611259 1.123833 -0.429131 26 33 0 9393 261 61623
-64.412712 -1.163688 -1.063777 23 34 0 9175 334 64432
-66.597511 -3.609124 -1.742982 31 35 0 13325 238 66718
-34.425903 1.893969 -1.175681 38 36 0 4425 325 34498
-51.750729 -2.790943 -3.254255 31 39 0 8004 382 51928
-34.139355 1.897330 -2.411930 123 40 0 14298 842 34277
-32.296520 0.613358 -2.589906 92 41 0 9536 368 32406
-28.608915 -0.492378 -2.566241 61 42 0 4939 364 28728
-25.274242 -1.360841 -2.520113 68 43 0 4356 423 25436
-21.919243 1.230465 -2.357806 89 44 0 4298 442 22080
-1.323730 0.026018 -0.154760 717 45 0 119 653 1333
-1.368858 -0.023057 -0.173486 624 46 0 109 709 1380
-1.384120 -0.074113 -0.189527 723 47 0 135 604 1399
-1.325037 0.075032 -0.192169 786 48 0 134 662 1341
-1.351736 0.026993 -0.208577 662 49 0 113 525 1368
-1.336909 -0.022472 -0.219533 476 50 0 76 537 1355
