X Y Z Intensity LaserID T Reflectivity Noise Range 
-39.581745 2.107644 7.434487 56 12 0 8889 1192 40329
-34.078026 -1.896905 2.855244 79 23 0 9177 895 34250
-34.321640 -1.892439 1.621627 78 27 0 9063 860 34412
-46.711735 -0.858580 0.936217 86 30 0 18538 588 46729
-41.116352 -2.248374 0.427635 100 31 0 16808 678 41180
-36.001961 1.971224 0.092506 91 32 0 11758 870 36056
-34.436436 0.628145 -0.239854 242 33 0 28621 662 34443
-36.305126 -0.655893 -0.599580 30 34 0 3852 322 36316
-57.386173 -3.109933 -1.501904 37 35 0 11841 481 57490
-35.958691 1.978297 -1.228027 99 36 0 12725 806 36034
-34.079956 0.635923 -1.479878 293 37 0 34002 911 34118
-25.442097 -0.437875 -2.282175 25 42 0 1544 270 25548
-26.466610 -1.425041 -2.639005 71 43 0 4992 304 26636
-23.027117 1.292657 -2.476978 93 44 0 4945 702 23196
-1.359480 0.026720 -0.158939 690 45 0 120 1050 1369
-1.368858 -0.023057 -0.173486 670 46 0 118 990 1380
-1.372247 -0.073478 -0.187902 691 47 0 127 980 1387
-1.336894 0.075704 -0.193888 792 48 0 139 1094 1353
-1.339879 0.026756 -0.206747 652 49 0 110 909 1356
-1.325069 -0.022273 -0.217589 472 50 0 75 825 1343
-1.360278 0.077838 -0.248616 415 52 0 71 857 1385
-1.302300 0.075523 -0.288458 222 56 0 35 889 1336
-1.165014 0.024282 -0.269387 99 57 0 10 392 1196
-1.256659 0.074087 -0.328514 92 60 0 13 926 1301
-45.543968 -1.974854 3.813606 47 23 196555 9726 1097 45746
-58.974125 -0.387920 3.324083 25 26 196555 8322 1054 59069
-41.563618 -1.780457 1.962616 60 27 196555 10191 835 41648
-51.481709 -0.314375 1.031664 63 30 196555 16475 791 51493
-41.308689 -1.750758 0.429379 76 31 196555 12798 823 41348
-34.402149 1.049954 -0.239687 234 33 196555 27638 773 34419
-58.043259 -2.431592 -1.518205 18 35 196555 5711 356 58114
-34.105541 1.055201 -1.481439 373 37 196555 43154 1275 34154
