X Y Z Intensity LaserID T Reflectivity Noise Range 
-116.693863 -2.144878 2.338830 3687 30 0 37653 2610 116737
-115.904587 -6.338035 1.205477 5666 31 0 32568 4111 116084
-95.432747 5.225252 0.245213 27 32 0 23577 713 95576
-24.328663 -1.312057 -1.529866 81 39 0 4790 879 24412
-38.991791 2.167009 -2.754752 27 40 0 4061 404 39149
-32.248680 0.612450 -2.586070 46 41 0 4708 465 32358
-23.924416 -0.411755 -2.146038 323 42 0 18605 305 24024
-24.248804 -1.305628 -2.417866 57 43 0 3321 257 24404
-21.585688 1.211740 -2.321926 94 44 0 4385 491 21744
-1.335647 0.026252 -0.156153 711 45 0 119 401 1345
-1.368858 -0.023057 -0.173486 657 46 0 115 497 1380
-1.384120 -0.074113 -0.189527 659 47 0 122 437 1399
-1.336894 0.075704 -0.193888 810 48 0 141 381 1353
-1.351736 0.026993 -0.208577 650 49 0 111 340 1368
-1.313229 -0.022074 -0.215645 480 50 0 74 434 1331
-1.372064 0.078512 -0.250770 436 52 0 77 462 1397
-114.292618 -1.865287 -23.127409 51 54 0 57949 391 116624
-1.302300 0.075523 -0.288458 230 56 0 34 589 1336
-1.223459 0.025500 -0.282902 93 57 0 9 241 1256
-113.414162 -1.839071 -27.376427 158 58 0 12535 276 116686
-1.291432 0.076137 -0.337604 79 60 0 11 815 1337
-116.189423 -4.924376 1.207720 5368 31 193937 55439 3795 116300
-93.337990 6.260251 0.240010 24 32 193937 20480 760 93548
-67.085732 -0.388586 -1.107759 82 34 193937 36441 582 67096
-25.693367 -0.134924 -1.365888 110 38 193937 7190 507 25730
-24.307034 -1.011914 -1.527610 99 39 193937 5847 875 24376
-37.887413 2.572359 -2.678757 31 40 193937 4365 332 38069
-32.394161 1.013005 -2.598537 43 41 193937 4444 457 32514
-23.999376 -0.118488 -2.152469 272 42 193937 15748 436 24096
-24.286863 -1.008951 -2.420244 62 43 193937 3642 227 24428
-21.604902 1.478983 -2.325771 97 44 193937 4548 475 21780
-1.335224 0.042641 -0.156153 710 45 193937 120 434 1345
-1.380942 -0.006312 -0.174994 609 46 193937 108 495 1392
-1.337408 -0.055163 -0.183025 654 47 193937 113 415 1351
-1.324016 0.091287 -0.192169 748 48 193937 129 406 1341
-1.339450 0.043197 -0.206747 669 49 193937 114 370 1356
-1.325243 -0.006011 -0.217589 510 50 193937 82 415 1343
-1.323891 0.092068 -0.242154 406 52 193937 66 491 1349
-1.324008 0.043161 -0.254835 389 53 193937 61 493 1349
-1.312963 0.092321 -0.291049 203 56 193937 32 596 1348
-1.269795 0.042060 -0.293713 197 57 193937 28 419 1304
-1.290400 0.091979 -0.337604 120 60 193937 19 838 1337
-1.324366 0.044654 -0.359431 60 61 193937 8 520 1373
-95.258705 4.054564 2.798127 22 29 390942 18849 839 95386
-116.468994 -3.505040 1.210088 5064 31 390942 29256 3802 116528
-92.476593 7.343436 0.238008 20 32 390942 16157 602 92768
-42.924335 0.301359 -2.281929 27 38 390942 4800 233 42986
-24.257765 -0.711797 -1.523849 90 39 390942 5258 815 24316
-36.277981 2.910732 -2.567298 105 40 390942 13794 389 36485
-32.271740 1.405770 -2.589906 49 41 390942 5024 364 32406
-27.955038 0.205047 -2.507283 39 42 390942 3013 317 28068
-24.345160 -0.712235 -2.424999 76 43 390942 4523 173 24476
-21.549450 1.741115 -2.321926 89 44 390942 4149 374 21744
-1.370322 0.060602 -0.160332 725 45 390942 129 376 1381
-1.357107 0.010452 -0.171977 615 46 390942 105 448 1368
-1.397406 -0.040467 -0.191153 642 47 390942 120 330 1411
-1.322796 0.107528 -0.192169 823 48 390942 141 358 1341
-1.338819 0.059631 -0.206747 611 49 390942 101 319 1356
-1.348899 0.010436 -0.221478 569 50 390942 96 349 1367
-1.346192 0.110234 -0.246462 490 52 390942 84 383 1373
-1.346923 0.060463 -0.259369 398 53 390942 63 522 1373
-1.288377 0.106496 -0.285867 177 56 390942 24 618 1324
-1.292543 0.058700 -0.299119 285 57 390942 43 692 1328
-1.289174 0.107807 -0.337604 83 60 390942 11 708 1337
-1.277441 0.058773 -0.346865 143 61 390942 21 638 1325
-94.123863 5.164090 2.766446 30 29 584198 25997 895 94306
-116.779182 -2.080439 1.212954 5766 31 584198 23164 4289 116804
-128.663849 2.412908 -2.124912 20 34 584198 31519 688 128704
-43.001270 0.829702 -2.286389 28 38 584198 4953 265 43070
-24.432318 -0.416924 -1.534378 85 39 584198 5035 922 24484
-34.868816 3.228775 -2.470193 131 40 584198 16022 690 35105
-32.383430 1.809027 -2.600456 41 41 584198 4284 523 32538
-27.795071 0.545036 -2.493348 166 42 584198 12890 524 27912
-24.304308 -0.412618 -2.420244 70 43 584198 4103 258 24428
-21.538340 2.006535 -2.323208 92 44 584198 4290 504 21756
-1.357575 0.076741 -0.158939 737 45 584198 129 446 1369
-1.368779 0.027342 -0.173486 597 46 584198 104 474 1380
-1.362134 -0.022721 -0.186276 516 47 584198 90 391 1375
-1.321377 0.123752 -0.192169 827 48 584198 141 393 1341
-1.349827 0.076728 -0.208577 621 49 584198 104 377 1368
-1.348669 0.026988 -0.221478 495 50 584198 81 413 1367
-1.321232 0.124530 -0.242154 472 52 584198 76 486 1349
-1.357844 0.077660 -0.261636 523 53 584198 90 579 1385
-1.321966 0.125623 -0.293639 225 56 584198 33 662 1360
-1.303397 0.075230 -0.301822 308 57 584198 46 748 1340
-1.241522 0.119181 -0.325483 79 60 584198 9 757 1289
-1.288185 0.075119 -0.350006 152 61 584198 22 711 1337
-116.579926 -0.646025 1.210711 738 31 780133 13528 903 116588
-53.695389 1.695419 -2.855889 30 38 780133 8273 624 53798
-24.555359 -0.117644 -1.541898 51 39 780133 3021 933 24604
-33.719421 3.540186 -2.391665 152 40 780133 17502 749 33989
-32.418465 2.210353 -2.605251 30 41 780133 3084 458 32598
-27.798237 0.886465 -2.494420 52 42 780133 3995 434 27924
-24.307543 -0.114335 -2.420244 49 43 780133 2840 277 24428
-21.500231 2.269440 -2.321926 98 44 780133 4585 464 21744
-1.368422 0.094213 -0.160332 702 45 780133 124 400 1381
-1.356441 0.043754 -0.171977 645 46 780133 111 492 1368
-1.374200 -0.006056 -0.187902 529 47 780133 94 430 1387
-1.343379 0.142463 -0.195608 863 48 780133 153 363 1365
