X Y Z Intensity LaserID T Reflectivity Noise Range 
-79.892822 1.490779 -3.469241 196 37 0 59068 371 79982
-61.933029 -1.085370 -3.292888 26 38 0 9621 1382 62030
-34.151306 1.897994 -2.412774 81 40 0 9441 1463 34289
-32.451992 0.616311 -2.602374 62 41 0 6436 841 32562
-28.800119 -0.495669 -2.583392 54 42 0 4420 709 28920
-25.119234 -1.352495 -2.504657 55 43 0 3422 743 25280
-21.847767 1.226452 -2.350118 71 44 0 3394 797 22008
-1.335647 0.026252 -0.156153 737 45 0 125 1663 1345
-1.380761 -0.023258 -0.174994 630 46 0 111 1544 1392
-1.360375 -0.072842 -0.186276 676 47 0 121 1582 1375
-1.313180 0.074361 -0.190449 774 48 0 130 1628 1329
-1.339879 0.026756 -0.206747 654 49 0 110 1295 1356
-1.313229 -0.022074 -0.215645 516 50 0 81 1110 1331
-1.348492 0.077163 -0.246462 450 52 0 77 1157 1373
-10.678956 0.216980 -2.054741 67 53 0 778 715 10877
-1.349089 0.078237 -0.298821 224 56 0 36 1017 1384
-1.141636 0.023794 -0.263981 73 57 0 5 490 1172
-1.291432 0.076137 -0.337604 68 60 0 9 1035 1337
-55.963436 -0.324161 -0.924101 2087 34 195624 4338 972 55972
-59.305443 -0.311431 -3.152742 26 38 195624 8840 1260 59390
-33.922417 2.303156 -2.398420 117 40 195624 13526 1334 34085
-30.983381 0.968888 -2.485370 134 41 195624 12857 1274 31098
-28.636707 -0.141383 -2.568384 56 42 195624 4561 672 28752
-25.122009 -1.043646 -2.503468 50 43 195624 3124 699 25268
-20.616909 1.411349 -2.219413 120 44 195624 5153 1005 20784
-1.359050 0.043401 -0.158939 722 45 195624 126 1626 1369
-1.357133 -0.006203 -0.171977 635 46 195624 109 1556 1368
-1.384925 -0.057122 -0.189527 707 47 195624 131 1533 1399
-1.359560 0.093737 -0.197328 824 48 195624 150 1620 1377
-1.339450 0.043197 -0.206747 674 49 195624 114 1466 1356
-1.313401 -0.005957 -0.215645 450 50 195624 69 1153 1331
-1.323891 0.092068 -0.242154 389 52 195624 62 1146 1349
-1.300453 0.042393 -0.250302 359 53 195624 55 1034 1325
-1.312963 0.092321 -0.291049 207 56 195624 32 914 1348
-1.304851 0.043221 -0.301822 176 57 195624 26 762 1340
-1.255655 0.089503 -0.328514 108 60 195624 16 1014 1301
-1.266491 0.042703 -0.343724 54 61 195624 6 589 1313
-55.975197 0.362698 -0.924299 1694 34 392731 37082 677 55984
-82.670845 3.573709 -3.592601 24 37 392731 15788 344 82826
-57.866867 0.406266 -3.076299 25 38 392731 7989 1061 57950
-33.139889 2.658950 -2.345223 20 40 392731 2099 588 33329
-30.156538 1.313631 -2.420155 148 41 392731 13471 1394 30282
-28.600431 0.209781 -2.565169 39 42 392731 3154 662 28716
-25.073246 -0.733535 -2.497523 76 43 392731 4753 600 25208
-20.027191 1.618122 -2.157905 263 44 392731 10715 1339 20208
-1.358415 0.060076 -0.158939 773 45 392731 136 1469 1369
-1.369011 0.010543 -0.173486 634 46 392731 110 1459 1380
-1.385522 -0.040123 -0.189527 633 47 392731 116 1454 1399
-1.334633 0.108490 -0.193888 788 48 392731 136 1627 1353
-1.350667 0.060158 -0.208577 623 49 392731 104 1525 1368
-1.337058 0.010344 -0.219533 502 50 392731 80 1248 1355
-1.369724 0.112161 -0.250770 499 52 392731 87 1056 1397
-1.346923 0.060463 -0.259369 462 53 392731 76 1072 1373
-1.276700 0.105530 -0.283276 173 56 392731 22 913 1312
-1.339261 0.060821 -0.309930 292 57 392731 46 899 1376
-1.323887 0.110710 -0.346694 93 60 392731 13 906 1373
-1.289010 0.059306 -0.350006 139 61 392731 20 794 1337
-30.208384 2.797229 -2.140036 28 40 585846 2501 572 30413
-29.684315 1.658247 -2.383711 142 41 585846 12576 1571 29826
-28.512054 0.559096 -2.557665 59 42 585846 4787 761 28632
-25.020662 -0.424779 -2.491579 81 43 585846 5061 689 25148
-19.756350 1.840523 -2.130996 223 44 585846 8856 1454 19956
-1.357575 0.076741 -0.158939 764 45 585846 134 1549 1369
-1.368779 0.027342 -0.173486 650 46 585846 113 1540 1380
-1.362134 -0.022721 -0.186276 512 47 585846 89 1478 1375
-1.297728 0.121538 -0.188730 778 48 585846 128 1684 1317
-1.349827 0.076728 -0.208577 635 49 585846 107 1602 1368
-1.336830 0.026751 -0.219533 471 50 585846 75 1337 1355
-1.356491 0.127853 -0.248616 438 52 585846 74 1121 1385
-1.357844 0.077660 -0.261636 500 53 585846 85 1136 1385
-1.310302 0.124515 -0.291049 213 56 585846 31 933 1348
-1.338414 0.077252 -0.309930 338 57 585846 57 1044 1376
-1.287754 0.123620 -0.337604 79 60 585846 10 1024 1337
-1.288185 0.075119 -0.350006 161 61 585846 24 848 1337
-93.759995 9.696595 7.125504 22 24 780812 18864 1024 94529
-68.527748 4.649524 -2.982050 611 37 780812 24749 1040 68750
-46.831230 -0.224367 -2.940661 50 39 780812 10682 1093 46924
-28.147963 2.955241 -1.996490 22 40 780812 1692 459 28373
-28.945694 1.973573 -2.326168 161 41 780812 13535 1640 29106
-28.025208 0.893703 -2.514787 54 42 780812 4232 645 28152
-25.071754 -0.117930 -2.496334 64 43 780812 3972 741 25196
-19.257656 2.032727 -2.079739 242 44 780812 9141 1501 19476
-1.344641 0.092576 -0.157546 705 45 780812 120 1495 1357
-1.344543 0.043370 -0.170468 636 46 780812 107 1586 1356
-1.362311 -0.006004 -0.186276 494 47 780812 86 1434 1375
-1.355189 0.143716 -0.197328 875 48 780812 158 1482 1377
-1.348784 0.093287 -0.208577 646 49 780812 109 1636 1368
-1.371907 0.044300 -0.225366 461 50 780812 77 1527 1391
-1.179194 -0.005053 -0.205634 361 51 780812 45 722 1197
-1.343082 0.143238 -0.246462 456 52 780812 76 1153 1373
-1.368544 0.095134 -0.263903 446 53 780812 76 1025 1397
-1.324438 0.043415 -0.268112 310 54 780812 45 936 1352
-1.273725 0.136830 -0.283276 213 56 780812 29 977 1312
-1.337365 0.093670 -0.309930 299 57 780812 47 1046 1376
-1.327155 0.043644 -0.320486 135 58 780812 18 717 1366
-1.355401 0.146921 -0.355784 79 60 780812 11 956 1409
-1.287167 0.090922 -0.350006 172 61 780812 26 949 1337
-68.596985 5.500656 -2.987776 477 37 977297 26838 469 68882
-46.195724 0.345593 -2.900804 49 39 977297 10179 1324 46288
-25.577309 3.003116 -1.816635 74 40 977297 4894 527 25817
-28.132378 2.265269 -2.262871 208 41 977297 16561 1661 28314
-26.567345 1.173719 -2.385082 152 42 977297 10781 1011 26700
-24.999670 0.189206 -2.489201 70 43 977297 4352 697 25124
-18.982428 2.239538 -2.052829 269 44 977297 9908 1601 19224
-1.367163 0.110999 -0.160332 774 45 977297 137 1513 1381
-1.343910 0.059866 -0.170468 622 46 977297 104 1610 1356
-1.374171 0.010808 -0.187902 495 47 977297 86 1417 1387
-1.329736 0.157541 -0.193888 907 48 977297 157 1458 1353
-1.359358 0.110795 -0.210406 702 49 977297 120 1619 1380
-1.347601 0.060078 -0.221478 459 50 977297 72 1689 1367
-1.332843 0.010646 -0.232434 378 51 977297 58 752 1353
-1.329501 0.158313 -0.244308 487 52 977297 79 1118 1361
-1.332040 0.109037 -0.257102 508 53 977297 81 1093 1361
-1.359054 0.061254 -0.275251 451 54 977297 75 1177 1388
-1.306852 0.156634 -0.291049 178 56 977297 22 968 1348
-1.301158 0.107195 -0.301822 315 57 977297 46 1034 1340
-1.314866 0.059400 -0.317670 288 58 977297 43 996 1354
-1.284333 0.155185 -0.337604 107 60 977297 14 934 1337
-1.320579 0.109584 -0.359431 132 61 977297 19 893 1373
-1.281657 0.058079 -0.361763 128 62 977297 17 864 1333
-63.501873 8.146888 4.839710 42 24 1169853 16754 1078 64205
-18.044769 2.318551 0.710993 187 28 1169853 5730 823 18207
-17.978876 2.319973 0.046510 578 32 1169853 18816 625 18128
-45.768913 0.904180 -2.874483 54 39 1169853 11089 1301 45868
-24.102192 3.130221 -1.714464 49 40 1169853 2831 496 24365
-28.150103 2.614751 -2.266707 181 41 1169853 14462 1637 28362
-26.216816 1.480780 -2.355067 214 42 1169853 14830 1341 26364
-24.816385 0.492422 -2.471367 75 43 1169853 4583 731 24944
-18.847036 2.458423 -2.041296 211 44 1169853 7691 1560 19116
-1.365698 0.127768 -0.160332 759 45 1169853 134 1524 1381
-1.402502 0.079732 -0.178011 658 46 1169853 121 1596 1416
-1.338274 0.026952 -0.183025 488 47 1169853 81 1472 1351
-1.327702 0.173847 -0.193888 880 48 1169853 154 1344 1353
-1.369704 0.128577 -0.212236 798 49 1169853 143 1511 1392
-1.346762 0.076610 -0.221478 450 50 1169853 70 1745 1367
-1.320793 0.026761 -0.230372 322 51 1169853 46 797 1341
-1.327458 0.174616 -0.244308 395 52 1169853 61 1056 1361
-1.342334 0.126480 -0.259369 549 53 1169853 92 1057 1373
-1.369943 0.078601 -0.277630 464 54 1169853 80 1106 1400
-1.209683 0.024130 -0.257398 116 55 1169853 9 1023 1237
-1.304831 0.172659 -0.291049 216 56 1169853 31 932 1348
-1.334663 0.126463 -0.309930 311 57 1169853 49 1042 1376
-1.255809 0.072184 -0.303593 280 58 1169853 38 971 1294
-1.282331 0.170934 -0.337604 85 60 1169853 11 919 1337
-1.296077 0.123582 -0.353148 161 61 1169853 24 926 1349
-1.292378 0.074467 -0.365020 156 62 1169853 23 916 1345
-18.066389 2.533559 5.619304 25 0 1365679 862 962 19089
-18.288048 2.578315 0.721771 6594 28 1365679 5699 6249 18483
-18.234209 2.580787 0.047249 8049 32 1365679 9509 7701 18416
-28.307737 2.970705 -1.235762 28 37 1365679 2176 483 28490
-34.325016 2.350803 -1.829005 20 38 1365679 2267 450 34454
-44.976303 1.440841 -2.825601 71 39 1365679 14249 1372 45088
-28.020727 2.949980 -2.259035 158 41 1365679 12539 1159 28266
-25.564709 1.758909 -2.298254 204 42 1365679 13432 1392 25728
-24.927824 0.800754 -2.483256 81 43 1365679 5039 782 25064
-1.364027 0.144517 -0.160332 816 45 1365679 146 1534 1381
-1.342036 0.092829 -0.170468 632 46 1365679 105 1636 1356
-1.349725 0.043758 -0.184650 518 47 1365679 88 1456 1363
-1.313713 0.188440 -0.192169 814 48 1365679 137 1264 1341
-1.368023 0.145375 -0.212236 714 49 1365679 125 1485 1392
-1.357534 0.093949 -0.223422 503 50 1365679 82 1781 1379
-1.367626 0.044506 -0.238618 409 51 1365679 67 1179 1389
-1.336899 0.192576 -0.246462 568 52 1365679 97 1020 1373
-1.328963 0.141694 -0.257102 490 53 1365679 78 1195 1361
-1.333676 0.092953 -0.270491 416 54 1365679 65 1182 1364
-1.350071 0.043510 -0.287362 199 55 1365679 27 1003 1381
-1.302614 0.188658 -0.291049 176 56 1365679 22 1095 1348
-1.333011 0.142831 -0.309930 319 57 1365679 49 1061 1376
-1.336286 0.093275 -0.323301 247 58 1365679 37 1001 1378
-1.340306 0.043218 -0.338230 65 59 1365679 5 671 1383
-1.176731 0.171580 -0.310333 80 60 1365679 8 940 1229
-1.271433 0.136996 -0.346865 134 61 1365679 18 928 1325
-1.314410 0.091933 -0.371533 151 62 1365679 23 925 1369
-18.566767 2.836472 5.785332 26 0 1560903 965 923 19653
-18.371620 2.801081 4.942718 51 4 1560903 1849 922 19230
