X Y Z Reflectivity LaserID Timestamp 
-1.15 0.00 -0.31 2 0 696052449
-1.41 0.01 -0.33 1 2 696052454
-1.06 0.00 -0.21 100 4 696052458
-12.01 0.05 -1.90 4 6 696052463
-1.60 0.01 -0.20 100 8 696052467
-24.31 0.11 -2.13 3 10 696052472
-1.15 0.01 -0.31 2 0 696052504
-1.40 0.01 -0.32 2 2 696052509
-1.07 0.01 -0.21 100 4 696052514
-12.02 0.09 -1.90 4 6 696052518
-1.58 0.01 -0.19 100 8 696052523
-24.33 0.19 -2.13 3 10 696052527
-1.14 0.01 -0.30 2 0 696052561
-1.40 0.02 -0.32 2 2 696052565
-1.07 0.01 -0.21 100 4 696052570
-12.01 0.14 -1.90 4 6 696052574
-1.58 0.02 -0.19 100 8 696052579
-24.29 0.28 -2.13 3 10 696052584
-1.13 0.02 -0.30 4 0 696052616
-1.41 0.02 -0.33 2 2 696052620
-1.05 0.02 -0.20 100 4 696052625
-12.01 0.18 -1.90 4 6 696052630
-1.58 0.02 -0.19 100 8 696052634
-24.33 0.36 -2.13 3 10 696052639
-1.13 0.02 -0.30 4 0 696052671
-1.41 0.03 -0.33 1 2 696052676
-1.05 0.02 -0.20 100 4 696052680
-12.01 0.22 -1.90 4 6 696052685
-1.58 0.03 -0.19 100 8 696052690
-24.32 0.44 -2.13 3 10 696052694
-1.13 0.02 -0.30 2 0 696052726
-1.41 0.03 -0.33 2 2 696052731
-1.06 0.02 -0.21 100 4 696052736
-12.01 0.26 -1.90 4 6 696052740
-1.59 0.03 -0.20 100 8 696052745
-24.33 0.52 -2.13 3 10 696052749
-1.15 0.03 -0.31 4 0 696052782
-1.41 0.04 -0.32 2 2 696052786
-1.07 0.03 -0.21 100 4 696052791
-11.99 0.30 -1.90 4 6 696052796
-1.58 0.04 -0.19 100 8 696052800
-24.28 0.61 -2.12 3 10 696052805
-1.14 0.03 -0.31 2 0 696052837
-1.40 0.04 -0.32 2 2 696052842
-1.07 0.03 -0.21 100 4 696052846
-12.01 0.34 -1.90 4 6 696052851
