X Y Z Reflectivity LaserID Timestamp 
-1.13 0.00 -0.30 2 0 3114941977
-1.38 0.00 -0.32 2 2 3114941982
-1.05 0.00 -0.20 100 4 3114941986
-11.86 0.04 -1.88 4 6 3114941991
-1.58 0.01 -0.19 89 8 3114941996
-23.25 0.08 -2.03 3 10 3114942000
-24.59 0.09 -1.29 10 12 3114942005
-1.12 0.01 -0.30 2 0 3114942032
-1.06 0.01 -0.21 100 4 3114942042
-11.86 0.08 -1.88 4 6 3114942046
-1.59 0.01 -0.19 95 8 3114942051
-23.22 0.16 -2.03 3 10 3114942055
-24.58 0.17 -1.29 10 12 3114942060
-1.12 0.01 -0.30 2 0 3114942088
-1.38 0.01 -0.32 2 2 3114942092
-1.05 0.01 -0.20 100 4 3114942097
-11.84 0.12 -1.88 4 6 3114942102
-1.59 0.02 -0.20 83 8 3114942106
-23.22 0.24 -2.03 3 10 3114942111
-24.58 0.25 -1.29 10 12 3114942115
-1.11 0.02 -0.30 2 0 3114942143
-1.37 0.02 -0.32 2 2 3114942148
-1.07 0.01 -0.21 100 4 3114942152
-11.85 0.16 -1.88 4 6 3114942157
-1.59 0.02 -0.19 83 8 3114942161
-23.22 0.32 -2.03 3 10 3114942166
-24.60 0.34 -1.29 10 12 3114942171
-1.13 0.02 -0.30 2 0 3114942198
-1.40 0.02 -0.32 1 2 3114942203
-1.06 0.02 -0.21 100 4 3114942207
-11.86 0.20 -1.88 4 6 3114942212
-1.58 0.03 -0.19 86 8 3114942217
-23.21 0.40 -2.03 3 10 3114942221
-24.61 0.43 -1.29 10 12 3114942226
-1.13 0.02 -0.30 2 0 3114942254
-1.38 0.03 -0.32 1 2 3114942258
-1.05 0.02 -0.20 100 4 3114942263
-11.87 0.25 -1.88 4 6 3114942267
-1.57 0.03 -0.19 72 8 3114942272
-23.22 0.48 -2.03 3 10 3114942277
-24.62 0.51 -1.29 10 12 3114942281
-1.12 0.03 -0.30 2 0 3114942309
-1.40 0.03 -0.32 2 2 3114942313
-1.06 0.03 -0.21 96 4 3114942318
-11.86 0.29 -1.88 4 6 3114942323
-1.58 0.04 -0.19 83 8 3114942327
-23.24 0.56 -2.03 3 10 3114942332
-24.64 0.60 -1.29 5 12 3114942337
-1.13 0.03 -0.30 2 0 3114942364
-1.39 0.04 -0.32 2 2 3114942369
-1.07 0.03 -0.21 92 4 3114942373
-11.86 0.33 -1.88 4 6 3114942378
-1.58 0.04 -0.19 72 8 3114942383
-23.24 0.65 -2.03 3 10 3114942387
