X Y Z Reflectivity LaserID Timestamp 
-1.12 0.00 -0.30 2 0 924248110
-1.42 0.00 -0.33 2 2 924248115
-1.06 0.00 -0.21 100 4 924248119
-11.93 0.01 -1.89 7 6 924248124
-1.60 0.00 -0.20 100 8 924248129
-23.49 0.01 -2.06 6 10 924248133
-1.14 0.00 -0.31 2 0 924248166
-1.40 0.01 -0.32 1 2 924248170
-1.06 0.00 -0.21 100 4 924248175
-11.93 0.05 -1.89 7 6 924248179
-1.60 0.01 -0.20 100 8 924248184
-23.48 0.09 -2.05 6 10 924248189
-1.15 0.01 -0.31 2 0 924248221
-1.41 0.01 -0.32 2 2 924248225
-1.06 0.01 -0.21 100 4 924248230
-11.93 0.09 -1.89 7 6 924248235
-1.59 0.01 -0.20 100 8 924248239
-23.49 0.18 -2.05 6 10 924248244
-1.12 0.01 -0.30 2 0 924248276
-1.40 0.02 -0.32 2 2 924248281
-1.05 0.01 -0.20 100 4 924248285
-11.94 0.13 -1.89 7 6 924248290
-1.59 0.02 -0.20 100 8 924248295
-23.49 0.26 -2.06 6 10 924248299
-1.14 0.02 -0.30 4 0 924248331
-1.41 0.02 -0.33 2 2 924248336
-1.06 0.01 -0.21 100 4 924248341
-11.93 0.17 -1.89 7 6 924248345
-1.60 0.02 -0.20 100 8 924248350
-23.49 0.33 -2.06 6 10 924248354
-1.12 0.02 -0.30 4 0 924248387
-1.41 0.02 -0.33 1 2 924248391
-1.06 0.02 -0.21 100 4 924248396
-11.92 0.21 -1.89 8 6 924248401
-1.60 0.03 -0.20 100 8 924248405
-23.50 0.41 -2.06 6 10 924248410
-1.14 0.02 -0.31 2 0 924248442
-1.40 0.03 -0.32 1 2 924248447
-1.06 0.02 -0.21 100 4 924248451
-11.92 0.25 -1.89 8 6 924248456
-1.60 0.03 -0.20 100 8 924248460
-23.51 0.50 -2.06 6 10 924248465
-1.14 0.03 -0.30 4 0 924248497
-1.41 0.03 -0.33 2 2 924248502
-1.07 0.03 -0.21 100 4 924248507
-11.92 0.29 -1.89 8 6 924248511
-1.59 0.04 -0.20 100 8 924248516
-23.52 0.58 -2.06 6 10 924248520
-1.15 0.03 -0.31 2 0 924248553
-1.40 0.04 -0.32 2 2 924248557
-1.07 0.03 -0.21 100 4 924248562
-11.92 0.34 -1.89 8 6 924248566
-1.60 0.04 -0.20 100 8 924248571
-23.50 0.66 -2.06 6 10 924248576
-1.12 0.04 -0.30 2 0 924248608
-1.41 0.04 -0.33 2 2 924248612
-1.07 0.03 -0.21 100 4 924248617
-11.90 0.38 -1.89 16 6 924248622
-1.60 0.05 -0.20 100 8 924248626
-23.49 0.74 -2.06 6 10 924248631
-1.12 0.04 -0.30 2 0 924248663
-1.40 0.05 -0.32 2 2 924248668
-1.07 0.04 -0.21 100 4 924248672
-11.89 0.42 -1.88 23 6 924248677
-1.60 0.06 -0.20 100 8 924248682
-23.48 0.82 -2.06 6 10 924248686
-47.78 1.68 -2.51 22 12 924248691
-1.12 0.04 -0.30 2 0 924248718
-1.40 0.05 -0.32 2 2 924248723
-1.07 0.04 -0.21 100 4 924248728
-11.89 0.46 -1.89 33 6 924248732
-1.60 0.06 -0.20 100 8 924248737
-23.52 0.91 -2.06 6 10 924248741
-1.16 0.05 -0.31 2 0 924248774
-1.40 0.06 -0.32 2 2 924248778
-1.07 0.05 -0.21 100 4 924248783
-11.89 0.50 -1.89 22 6 924248788
-1.59 0.07 -0.20 100 8 924248792
-23.47 0.99 -2.06 25 10 924248797
-1.14 0.05 -0.31 2 0 924248829
-1.42 0.06 -0.33 1 2 924248834
-1.06 0.05 -0.21 100 4 924248838
-11.91 0.54 -1.89 6 6 924248843
-1.59 0.07 -0.20 100 8 924248847
-23.43 1.07 -2.05 12 10 924248852
-1.12 0.05 -0.30 2 0 924248884
-1.41 0.07 -0.33 1 2 924248889
-1.06 0.05 -0.21 100 4 924248893
-11.92 0.58 -1.89 7 6 924248898
-1.60 0.08 -0.20 100 8 924248903
-23.45 1.15 -2.05 6 10 924248907
-1.13 0.06 -0.30 2 0 924248940
-1.41 0.07 -0.33 1 2 924248944
-1.07 0.06 -0.21 100 4 924248949
-11.91 0.62 -1.89 8 6 924248953
-1.59 0.08 -0.20 100 8 924248958
-23.47 1.23 -2.06 6 10 924248963
-1.13 0.06 -0.30 2 0 924248995
-1.40 0.08 -0.32 2 2 924248999
-1.07 0.06 -0.21 100 4 924249004
-11.91 0.67 -1.89 8 6 924249009
-1.60 0.09 -0.20 100 8 924249013
-23.48 1.31 -2.06 28 10 924249018
-1.16 0.07 -0.31 2 0 924249050
-1.41 0.08 -0.33 3 2 924249055
-1.07 0.06 -0.21 100 4 924249059
-11.92 0.71 -1.89 7 6 924249064
-1.59 0.09 -0.20 100 8 924249069
-23.50 1.40 -2.06 25 10 924249073
-1.13 0.07 -0.30 2 0 924249105
-1.41 0.09 -0.33 2 2 924249110
-1.06 0.07 -0.21 100 4 924249115
-11.93 0.75 -1.89 7 6 924249119
-1.59 0.10 -0.20 100 8 924249124
-1.13 0.08 -0.30 2 0 924249161
-1.42 0.09 -0.33 1 2 924249165
-1.07 0.07 -0.21 100 4 924249170
-11.93 0.79 -1.89 5 6 924249175
-1.59 0.11 -0.20 100 8 924249179
-23.63 1.57 -2.07 6 10 924249184
-1.13 0.08 -0.30 2 0 924249216
-1.42 0.10 -0.33 2 2 924249221
-1.07 0.07 -0.21 100 4 924249225
-11.94 0.84 -1.90 4 6 924249230
-1.60 0.11 -0.20 92 8 924249234
-23.68 1.66 -2.08 6 10 924249239
-1.12 0.08 -0.30 2 0 924249271
-1.41 0.10 -0.33 2 2 924249276
-1.07 0.08 -0.21 100 4 924249281
-11.97 0.88 -1.90 5 6 924249285
-1.60 0.12 -0.20 95 8 924249290
-23.73 1.74 -2.08 6 10 924249294
-1.14 0.09 -0.31 2 0 924249327
-1.41 0.11 -0.33 2 2 924249331
-1.07 0.08 -0.21 100 4 924249336
-11.98 0.92 -1.90 6 6 924249340
-1.59 0.12 -0.20 86 8 924249345
-23.79 1.83 -2.09 6 10 924249350
-1.12 0.09 -0.30 2 0 924249382
-1.41 0.11 -0.33 2 2 924249387
-1.05 0.08 -0.21 100 4 924249391
-12.00 0.97 -1.91 5 6 924249396
-1.58 0.13 -0.20 89 8 924249400
-23.87 1.92 -2.09 6 10 924249405
-1.12 0.09 -0.30 4 0 924249437
-1.41 0.12 -0.33 2 2 924249442
-1.06 0.09 -0.21 100 4 924249446
-12.00 1.01 -1.91 4 6 924249451
-1.60 0.13 -0.20 92 8 924249456
-23.92 2.00 -2.10 6 10 924249460
-1.13 0.10 -0.30 2 0 924249493
-1.42 0.12 -0.33 3 2 924249497
-1.07 0.09 -0.21 100 4 924249502
-11.99 1.05 -1.91 4 6 924249506
-1.59 0.14 -0.20 80 8 924249511
-23.97 2.09 -2.11 6 10 924249516
-1.13 0.10 -0.30 2 0 924249548
-1.40 0.13 -0.33 2 2 924249552
-1.07 0.10 -0.21 98 4 924249557
-11.99 1.09 -1.91 4 6 924249562
-34.41 3.13 4.24 45 7 924249564
-1.59 0.14 -0.20 77 8 924249566
-24.04 2.18 -2.11 6 10 924249571
-1.13 0.11 -0.30 2 0 924249603
-1.41 0.13 -0.33 1 2 924249608
-1.07 0.10 -0.21 96 4 924249612
-11.99 1.13 -1.91 4 6 924249617
-34.41 3.25 4.24 22 7 924249619
-1.58 0.15 -0.20 80 8 924249622
-24.08 2.27 -2.12 6 10 924249626
-51.46 4.86 -2.71 26 12 924249631
-1.12 0.11 -0.30 2 0 924249658
-1.42 0.14 -0.33 1 2 924249663
-1.06 0.10 -0.21 92 4 924249668
-11.99 1.17 -1.91 4 6 924249672
-34.43 3.37 4.25 11 7 924249675
-1.59 0.16 -0.20 80 8 924249677
-24.13 2.36 -2.12 6 10 924249681
-51.37 5.03 -2.71 26 12 924249686
-1.14 0.12 -0.31 2 0 924249714
-1.43 0.14 -0.33 1 2 924249718
-1.06 0.11 -0.21 92 4 924249723
-11.98 1.22 -1.91 4 6 924249728
-34.43 3.49 4.25 45 7 924249730
-1.59 0.16 -0.20 74 8 924249732
-24.14 2.45 -2.12 6 10 924249737
-1.14 0.12 -0.31 2 0 924249769
-1.41 0.15 -0.33 2 2 924249774
-1.08 0.11 -0.21 98 4 924249778
-11.97 1.26 -1.91 4 6 924249783
-34.43 3.61 4.25 22 7 924249785
-1.60 0.17 -0.20 77 8 924249787
-24.19 2.54 -2.13 7 10 924249792
-1.14 0.12 -0.31 2 0 924249824
-1.40 0.15 -0.32 1 2 924249829
-1.08 0.12 -0.21 96 4 924249834
-11.97 1.30 -1.91 4 6 924249838
-1.59 0.17 -0.20 74 8 924249843
-24.24 2.63 -2.13 7 10 924249847
-1.14 0.13 -0.31 2 0 924249880
-1.41 0.16 -0.33 2 2 924249884
-1.08 0.12 -0.21 92 4 924249889
-11.96 1.34 -1.91 5 6 924249893
-1.59 0.18 -0.20 77 8 924249898
-24.29 2.72 -2.14 7 10 924249903
-1.14 0.13 -0.31 4 0 924249935
-1.41 0.16 -0.33 2 2 924249939
-1.07 0.12 -0.21 90 4 924249944
-11.96 1.38 -1.91 6 6 924249949
-1.59 0.18 -0.20 77 8 924249953
-24.32 2.81 -2.14 31 10 924249958
-1.13 0.13 -0.31 2 0 924249990
-1.41 0.17 -0.33 2 2 924249995
-1.06 0.13 -0.21 87 4 924249999
-11.96 1.42 -1.91 5 6 924250004
-1.59 0.19 -0.20 77 8 924250009
-24.31 2.89 -2.14 24 10 924250013
-1.12 0.14 -0.30 2 0 924250045
-1.41 0.17 -0.33 1 2 924250050
-1.07 0.13 -0.21 81 4 924250055
-11.93 1.46 -1.90 4 6 924250059
-1.60 0.20 -0.20 72 8 924250064
-24.41 2.99 -2.15 7 10 924250068
-1.13 0.14 -0.31 2 0 924250101
-1.42 0.18 -0.33 2 2 924250105
-1.08 0.14 -0.21 81 4 924250110
-11.91 1.50 -1.90 4 6 924250115
-1.60 0.20 -0.20 74 8 924250119
-24.48 3.08 -2.16 7 10 924250124
