X Y Z Reflectivity LaserID Timestamp 
-1.14 0.01 -0.30 2 0 1529833445
-1.38 0.01 -0.32 1 2 1529833450
-1.07 0.01 -0.21 100 4 1529833454
-10.30 0.07 -1.63 10 6 1529833459
-1.58 0.01 -0.19 100 8 1529833464
-16.64 0.11 -1.46 5 10 1529833468
-27.80 0.19 -1.46 6 12 1529833473
-28.43 0.19 -0.50 7 14 1529833478
-1.14 0.01 -0.31 2 0 1529833501
-1.39 0.01 -0.32 1 2 1529833505
-1.06 0.01 -0.21 100 4 1529833510
-10.30 0.11 -1.63 11 6 1529833514
-1.58 0.02 -0.19 100 8 1529833519
-16.64 0.17 -1.46 5 10 1529833524
-27.79 0.29 -1.46 6 12 1529833528
-1.13 0.02 -0.30 2 0 1529833556
-1.40 0.02 -0.32 2 2 1529833560
-1.06 0.01 -0.21 100 4 1529833565
-10.29 0.14 -1.63 12 6 1529833570
-1.58 0.02 -0.19 100 8 1529833574
-16.64 0.23 -1.46 4 10 1529833579
-27.82 0.38 -1.46 6 12 1529833584
-1.12 0.02 -0.30 4 0 1529833611
-1.40 0.02 -0.32 2 2 1529833616
-1.07 0.02 -0.21 100 4 1529833620
-10.29 0.18 -1.63 12 6 1529833625
-1.59 0.03 -0.19 100 8 1529833630
-16.64 0.29 -1.46 6 10 1529833634
-27.81 0.48 -1.46 6 12 1529833639
-33.14 0.57 -0.58 100 14 1529833643
-1.13 0.02 -0.30 2 0 1529833666
-1.40 0.03 -0.32 1 2 1529833671
-1.07 0.02 -0.21 100 4 1529833676
-10.29 0.21 -1.63 12 6 1529833680
-1.58 0.03 -0.19 100 8 1529833685
-16.65 0.35 -1.46 6 10 1529833690
-27.83 0.58 -1.46 6 12 1529833694
-1.15 0.03 -0.31 2 0 1529833722
-1.39 0.03 -0.32 2 2 1529833726
-1.07 0.03 -0.21 100 4 1529833731
-10.29 0.25 -1.63 14 6 1529833736
-1.58 0.04 -0.19 100 8 1529833740
-16.67 0.40 -1.46 6 10 1529833745
-27.83 0.68 -1.46 6 12 1529833749
-42.15 1.02 -0.74 59 14 1529833754
-1.12 0.03 -0.30 2 0 1529833777
-1.40 0.04 -0.32 2 2 1529833782
-1.07 0.03 -0.21 100 4 1529833786
-10.30 0.29 -1.63 12 6 1529833791
-1.58 0.04 -0.19 100 8 1529833795
-16.66 0.46 -1.46 6 10 1529833800
-27.83 0.77 -1.46 6 12 1529833805
-42.23 1.17 -0.74 11 14 1529833809
-1.13 0.04 -0.30 2 0 1529833832
-1.41 0.04 -0.32 2 2 1529833837
-1.07 0.03 -0.21 100 4 1529833842
-10.30 0.32 -1.63 11 6 1529833846
-1.59 0.05 -0.19 100 8 1529833851
-16.65 0.52 -1.46 7 10 1529833855
-27.86 0.87 -1.46 6 12 1529833860
-1.15 0.04 -0.31 2 0 1529833888
-1.39 0.05 -0.32 2 2 1529833892
-1.07 0.04 -0.21 100 4 1529833897
-10.28 0.36 -1.63 11 6 1529833901
-1.58 0.05 -0.19 100 8 1529833906
-16.66 0.58 -1.46 7 10 1529833911
-27.85 0.97 -1.46 6 12 1529833915
-43.27 1.50 -0.76 12 14 1529833920
-1.14 0.04 -0.31 2 0 1529833943
-1.39 0.05 -0.32 2 2 1529833948
-1.08 0.04 -0.21 100 4 1529833952
-10.28 0.39 -1.63 11 6 1529833957
-1.58 0.06 -0.19 100 8 1529833961
-16.67 0.64 -1.46 7 10 1529833966
-27.85 1.07 -1.46 6 12 1529833971
-47.22 1.81 -0.82 31 14 1529833975
-1.14 0.05 -0.31 2 0 1529833998
-1.40 0.06 -0.32 2 2 1529834003
-1.07 0.04 -0.21 100 4 1529834007
-10.28 0.43 -1.63 11 6 1529834012
-1.58 0.07 -0.19 100 8 1529834017
-16.68 0.70 -1.46 7 10 1529834021
-27.87 1.16 -1.46 6 12 1529834026
-47.25 1.97 -0.83 15 14 1529834030
-1.14 0.05 -0.31 2 0 1529834054
-1.40 0.06 -0.32 2 2 1529834058
-1.06 0.05 -0.21 100 4 1529834063
-10.29 0.47 -1.63 12 6 1529834067
-1.58 0.07 -0.19 100 8 1529834072
-16.67 0.75 -1.46 6 10 1529834077
-27.89 1.26 -1.46 6 12 1529834081
-1.14 0.06 -0.31 2 0 1529834109
-1.40 0.07 -0.32 2 2 1529834113
-1.06 0.05 -0.21 100 4 1529834118
-10.29 0.50 -1.63 13 6 1529834123
-1.58 0.08 -0.19 100 8 1529834127
-16.67 0.81 -1.46 7 10 1529834132
-27.92 1.36 -1.46 6 12 1529834136
-1.14 0.06 -0.31 2 0 1529834164
-1.39 0.07 -0.32 1 2 1529834169
-1.06 0.06 -0.21 100 4 1529834173
-10.27 0.54 -1.63 13 6 1529834178
-1.58 0.08 -0.19 100 8 1529834183
-16.67 0.87 -1.46 6 10 1529834187
-27.92 1.46 -1.47 6 12 1529834192
-1.13 0.06 -0.30 2 0 1529834219
-1.40 0.08 -0.32 2 2 1529834224
-1.07 0.06 -0.21 100 4 1529834229
-10.28 0.57 -1.63 12 6 1529834233
-1.60 0.09 -0.20 98 8 1529834238
-16.68 0.93 -1.46 7 10 1529834242
