X Y Z Reflectivity LaserID Timestamp 
-1.13 0.00 -0.30 2 0 1077252117
-35.76 0.09 0.62 8 1 1077252119
-26.38 0.07 -6.09 100 2 1077252121
-1.07 0.00 -0.21 100 4 1077252126
-30.56 0.08 2.67 6 5 1077252128
-12.48 0.03 -1.98 5 6 1077252131
-1.58 0.00 -0.19 83 8 1077252135
-29.75 0.08 4.71 16 9 1077252137
-24.13 0.06 -2.11 10 10 1077252140
-29.91 0.08 5.81 10 11 1077252142
-28.10 0.07 -1.47 6 12 1077252144
-30.26 0.08 6.99 9 13 1077252147
-32.56 0.09 -0.57 17 14 1077252149
-30.79 0.08 8.25 9 15 1077252151
-1.14 0.01 -0.31 2 0 1077252172
-28.57 0.17 0.50 16 1 1077252174
-26.40 0.16 -6.10 100 2 1077252177
-26.98 0.16 1.41 126 3 1077252179
-1.06 0.01 -0.21 100 4 1077252181
-31.10 0.19 2.72 12 5 1077252184
-12.49 0.08 -1.98 5 6 1077252186
-1.59 0.01 -0.19 80 8 1077252190
-29.56 0.18 4.68 10 9 1077252193
-24.06 0.15 -2.10 10 10 1077252195
-31.05 0.19 6.04 10 11 1077252197
-27.76 0.17 -1.45 6 12 1077252200
-30.38 0.19 7.01 9 13 1077252202
-30.70 0.19 8.23 9 15 1077252207
-1.12 0.01 -0.30 2 0 1077252227
-26.99 0.26 0.47 4 1 1077252230
-26.41 0.25 -6.10 100 2 1077252232
-27.01 0.26 1.42 127 3 1077252234
-1.06 0.01 -0.21 100 4 1077252236
-34.18 0.33 2.99 7 5 1077252239
-12.50 0.12 -1.98 4 6 1077252241
-29.78 0.29 3.66 9 7 1077252243
-1.59 0.02 -0.19 86 8 1077252246
-29.72 0.29 4.71 16 9 1077252248
-24.01 0.23 -2.10 10 10 1077252250
-31.42 0.30 6.11 11 11 1077252253
-26.90 0.26 -1.41 6 12 1077252255
-30.61 0.29 7.07 9 13 1077252257
-26.98 0.26 -0.47 6 14 1077252260
-29.13 0.28 7.81 18 15 1077252262
-1.14 0.01 -0.30 2 0 1077252283
-26.97 0.35 0.47 4 1 1077252285
-26.43 0.35 -6.10 100 2 1077252287
-27.02 0.35 1.42 128 3 1077252289
-1.07 0.01 -0.21 100 4 1077252292
-30.12 0.39 2.64 5 5 1077252294
-12.50 0.16 -1.98 5 6 1077252296
-34.51 0.45 4.24 11 7 1077252299
-1.60 0.02 -0.20 80 8 1077252301
-29.82 0.39 4.72 16 9 1077252303
-23.98 0.31 -2.10 10 10 1077252306
-29.47 0.39 5.73 9 11 1077252308
-27.09 0.35 -1.42 6 12 1077252310
-30.71 0.40 7.09 9 13 1077252313
-34.26 0.45 -0.60 17 14 1077252315
-29.16 0.38 7.81 18 15 1077252317
-1.13 0.02 -0.30 2 0 1077252338
-28.54 0.48 0.50 11 1 1077252340
-26.43 0.44 -6.10 100 2 1077252342
-27.04 0.45 1.42 130 3 1077252345
