X Y Z Reflectivity LaserID Timestamp 
-1.13 0.00 -0.30 2 0 2263267793
-1.39 0.00 -0.32 2 2 2263267798
-1.07 0.00 -0.21 100 4 2263267803
-12.06 0.04 -1.91 4 6 2263267807
-1.59 0.01 -0.19 89 8 2263267812
-23.91 0.08 -2.09 6 10 2263267817
-1.13 0.01 -0.30 2 0 2263267849
-1.38 0.01 -0.32 1 2 2263267853
-1.06 0.01 -0.21 100 4 2263267858
-12.07 0.08 -1.91 4 6 2263267863
-1.58 0.01 -0.19 86 8 2263267867
-23.96 0.17 -2.10 6 10 2263267872
-84.92 0.59 -1.48 4 14 2263267881
-1.13 0.01 -0.30 2 0 2263267904
-1.40 0.01 -0.32 2 2 2263267909
-1.05 0.01 -0.20 100 4 2263267913
-12.07 0.13 -1.91 4 6 2263267918
-1.58 0.02 -0.19 92 8 2263267922
-23.97 0.25 -2.10 6 10 2263267927
-84.73 0.89 -1.48 100 14 2263267936
-1.13 0.02 -0.30 2 0 2263267959
-1.41 0.02 -0.33 2 2 2263267964
-1.05 0.01 -0.20 100 4 2263267969
-12.07 0.17 -1.91 4 6 2263267973
-1.58 0.02 -0.19 80 8 2263267978
-24.04 0.34 -2.10 3 10 2263267982
-1.14 0.02 -0.31 2 0 2263268015
-1.41 0.02 -0.33 1 2 2263268019
-1.06 0.02 -0.21 100 4 2263268024
-12.06 0.21 -1.91 4 6 2263268028
-1.59 0.03 -0.20 86 8 2263268033
-24.10 0.42 -2.11 3 10 2263268038
-1.13 0.02 -0.30 2 0 2263268070
-1.39 0.03 -0.32 1 2 2263268075
-1.07 0.02 -0.21 100 4 2263268079
-12.06 0.25 -1.91 5 6 2263268084
-1.59 0.03 -0.19 77 8 2263268088
-24.16 0.51 -2.11 6 10 2263268093
-1.15 0.03 -0.31 2 0 2263268125
-1.40 0.03 -0.32 2 2 2263268130
-1.06 0.03 -0.21 100 4 2263268134
-12.07 0.30 -1.91 5 6 2263268139
-1.58 0.04 -0.19 86 8 2263268144
-50.69 1.24 8.03 19 9 2263268146
-24.22 0.59 -2.12 3 10 2263268148
-1.13 0.03 -0.30 2 0 2263268181
-1.39 0.04 -0.32 2 2 2263268185
-1.05 0.03 -0.20 91 4 2263268190
-48.18 1.35 4.22 18 5 2263268192
-12.08 0.34 -1.91 5 6 2263268194
-1.58 0.04 -0.19 77 8 2263268199
-24.30 0.68 -2.13 3 10 2263268204
-44.28 1.24 -2.32 18 12 2263268208
-1.13 0.04 -0.30 2 0 2263268236
-1.40 0.04 -0.32 2 2 2263268240
-1.06 0.03 -0.21 100 4 2263268245
-12.08 0.38 -1.91 5 6 2263268250
-1.58 0.05 -0.19 72 8 2263268254
-24.36 0.77 -2.13 3 10 2263268259
-1.14 0.04 -0.30 2 0 2263268291
-1.40 0.05 -0.32 2 2 2263268296
-1.06 0.04 -0.21 87 4 2263268300
-12.06 0.42 -1.91 5 6 2263268305
-1.59 0.06 -0.20 72 8 2263268310
-24.39 0.85 -2.14 3 10 2263268314
-1.13 0.04 -0.30 2 0 2263268346
-1.40 0.05 -0.32 2 2 2263268351
-48.78 1.87 2.56 22 3 2263268353
-1.07 0.04 -0.21 92 4 2263268356
-12.07 0.46 -1.91 5 6 2263268360
-1.58 0.06 -0.19 72 8 2263268365
-50.47 1.93 8.00 19 9 2263268367
-24.44 0.93 -2.14 3 10 2263268369
-1.14 0.05 -0.30 2 0 2263268402
-1.39 0.06 -0.32 2 2 2263268406
-49.02 2.05 2.57 22 3 2263268409
-1.07 0.04 -0.21 87 4 2263268411
-12.07 0.50 -1.91 6 6 2263268416
-1.57 0.07 -0.19 72 8 2263268420
-24.51 1.02 -2.15 3 10 2263268425
-1.13 0.05 -0.30 2 0 2263268457
-1.39 0.06 -0.32 2 2 2263268462
-1.06 0.05 -0.21 81 4 2263268466
-49.86 2.26 4.37 20 5 2263268469
-12.07 0.55 -1.91 6 6 2263268471
-1.58 0.07 -0.19 68 8 2263268475
-24.56 1.11 -2.15 3 10 2263268480
-1.12 0.05 -0.30 2 0 2263268512
-1.40 0.07 -0.32 2 2 2263268517
-1.06 0.05 -0.21 87 4 2263268522
-12.06 0.59 -1.91 5 6 2263268526
-1.58 0.08 -0.19 72 8 2263268531
-24.62 1.20 -2.16 3 10 2263268535
-1.13 0.06 -0.30 2 0 2263268568
-1.40 0.07 -0.32 1 2 2263268572
-48.94 2.56 2.57 22 3 2263268574
-1.06 0.06 -0.21 73 4 2263268577
-12.05 0.63 -1.91 5 6 2263268581
-1.59 0.08 -0.20 68 8 2263268586
-24.68 1.29 -2.16 3 10 2263268591
-1.15 0.06 -0.31 2 0 2263268623
-1.40 0.08 -0.32 1 2 2263268627
-49.07 2.74 2.58 22 3 2263268630
-1.06 0.06 -0.21 78 4 2263268632
-12.05 0.67 -1.91 5 6 2263268637
-1.59 0.09 -0.20 70 8 2263268641
-51.08 2.85 8.10 19 9 2263268644
-24.77 1.38 -2.17 3 10 2263268646
-1.14 0.07 -0.31 2 0 2263268678
-1.40 0.08 -0.32 2 2 2263268683
-49.19 2.91 2.58 22 3 2263268685
-1.07 0.06 -0.21 83 4 2263268687
-12.04 0.71 -1.91 4 6 2263268692
-1.57 0.09 -0.19 72 8 2263268697
-24.82 1.47 -2.18 7 10 2263268701
-1.14 0.07 -0.31 2 0 2263268733
-1.41 0.09 -0.33 2 2 2263268738
-1.06 0.07 -0.21 76 4 2263268743
-12.05 0.76 -1.91 5 6 2263268747
-1.59 0.10 -0.20 66 8 2263268752
-24.88 1.56 -2.18 7 10 2263268756
-1.14 0.08 -0.31 2 0 2263268789
