X Y Z Reflectivity LaserID Timestamp 
-1.15 0.01 -0.31 2 0 958738700
-1.40 0.01 -0.32 1 2 958738704
-1.06 0.01 -0.21 100 4 958738709
-11.81 0.07 -1.87 7 6 958738714
-1.58 0.01 -0.19 100 8 958738718
-23.20 0.13 -2.03 9 10 958738723
-1.13 0.01 -0.30 2 0 958738755
-1.40 0.01 -0.32 1 2 958738760
-1.06 0.01 -0.21 100 4 958738764
-11.80 0.11 -1.87 7 6 958738769
-1.59 0.01 -0.20 100 8 958738773
-23.14 0.21 -2.02 45 10 958738778
-63.82 0.58 -1.11 31 14 958738787
-1.12 0.01 -0.30 2 0 958738810
-1.41 0.02 -0.33 1 2 958738815
-1.06 0.01 -0.21 100 4 958738819
-11.80 0.15 -1.87 7 6 958738824
-1.59 0.02 -0.20 100 8 958738829
-23.15 0.29 -2.03 21 10 958738833
-1.15 0.02 -0.31 4 0 958738866
-1.41 0.02 -0.33 2 2 958738870
-1.06 0.02 -0.21 100 4 958738875
-11.80 0.19 -1.87 6 6 958738879
-1.59 0.03 -0.19 100 8 958738884
-23.25 0.37 -2.03 6 10 958738889
-1.13 0.02 -0.30 4 0 958738921
-1.40 0.03 -0.32 1 2 958738925
-1.07 0.02 -0.21 100 4 958738930
-11.80 0.23 -1.87 7 6 958738935
-1.57 0.03 -0.19 100 8 958738939
-23.28 0.45 -2.04 6 10 958738944
-63.82 1.24 -1.11 21 14 958738953
-1.14 0.03 -0.31 2 0 958738976
-1.41 0.03 -0.33 2 2 958738981
-1.06 0.02 -0.21 100 4 958738985
-11.80 0.27 -1.87 7 6 958738990
-1.57 0.04 -0.19 100 8 958738995
-23.31 0.53 -2.04 6 10 958738999
-1.13 0.03 -0.30 2 0 958739031
-1.42 0.04 -0.33 2 2 958739036
-1.06 0.03 -0.21 100 4 958739041
-11.80 0.31 -1.87 7 6 958739045
-1.58 0.04 -0.19 100 8 958739050
-23.33 0.62 -2.04 6 10 958739055
-1.12 0.03 -0.30 2 0 958739087
-1.39 0.04 -0.32 2 2 958739091
-1.07 0.03 -0.21 100 4 958739096
-11.78 0.35 -1.87 7 6 958739101
-1.59 0.05 -0.20 100 8 958739105
-23.39 0.70 -2.05 6 10 958739110
-1.13 0.04 -0.30 2 0 958739142
-1.40 0.05 -0.32 2 2 958739147
-1.07 0.04 -0.21 100 4 958739151
-11.79 0.40 -1.87 7 6 958739156
-1.59 0.05 -0.19 100 8 958739160
-23.45 0.79 -2.05 6 10 958739165
-1.14 0.04 -0.31 2 0 958739197
-1.40 0.05 -0.32 2 2 958739202
-1.08 0.04 -0.21 100 4 958739207
-11.78 0.44 -1.87 7 6 958739211
-1.58 0.06 -0.19 100 8 958739216
-23.48 0.87 -2.06 6 10 958739220
-1.14 0.05 -0.31 2 0 958739253
-1.41 0.06 -0.33 2 2 958739257
-1.06 0.04 -0.21 100 4 958739262
-11.78 0.48 -1.87 7 6 958739266
-1.58 0.06 -0.19 100 8 958739271
-23.51 0.95 -2.06 6 10 958739276
-1.13 0.05 -0.30 2 0 958739308
-1.40 0.06 -0.32 2 2 958739313
-1.07 0.05 -0.21 100 4 958739317
-11.77 0.52 -1.87 7 6 958739322
-1.58 0.07 -0.19 100 8 958739326
-23.53 1.03 -2.06 6 10 958739331
-1.13 0.05 -0.30 2 0 958739363
-1.42 0.07 -0.33 1 2 958739368
-1.07 0.05 -0.21 100 4 958739372
-11.76 0.56 -1.86 7 6 958739377
-1.59 0.08 -0.20 100 8 958739382
-23.61 1.12 -2.07 6 10 958739386
-1.12 0.06 -0.30 2 0 958739419
-1.39 0.07 -0.32 1 2 958739423
-1.07 0.05 -0.21 100 4 958739428
-11.76 0.60 -1.86 7 6 958739432
-1.58 0.08 -0.19 100 8 958739437
-23.63 1.20 -2.07 6 10 958739442
-1.12 0.06 -0.30 2 0 958739474
-1.40 0.08 -0.32 1 2 958739478
-1.07 0.06 -0.21 100 4 958739483
-11.76 0.64 -1.87 7 6 958739488
-1.58 0.09 -0.19 95 8 958739492
-23.65 1.29 -2.07 6 10 958739497
-1.15 0.07 -0.31 2 0 958739529
-1.41 0.08 -0.33 3 2 958739534
-1.06 0.06 -0.21 100 4 958739538
-11.76 0.68 -1.87 7 6 958739543
-1.60 0.09 -0.20 100 8 958739548
-23.68 1.37 -2.08 6 10 958739552
-1.14 0.07 -0.31 2 0 958739584
-1.42 0.09 -0.33 3 2 958739589
-1.06 0.07 -0.21 100 4 958739594
-11.76 0.72 -1.87 7 6 958739598
-1.59 0.10 -0.20 92 8 958739603
-23.71 1.45 -2.08 6 10 958739607
-1.13 0.07 -0.30 2 0 958739640
-1.41 0.09 -0.33 1 2 958739644
-1.07 0.07 -0.21 100 4 958739649
-11.74 0.76 -1.86 7 6 958739654
-1.59 0.10 -0.20 89 8 958739658
-23.77 1.54 -2.08 6 10 958739663
-1.14 0.08 -0.31 2 0 958739695
-1.39 0.10 -0.32 1 2 958739700
-1.07 0.07 -0.21 100 4 958739704
-11.73 0.80 -1.86 9 6 958739709
-1.60 0.11 -0.20 89 8 958739713
-23.82 1.63 -2.09 6 10 958739718
-1.13 0.08 -0.30 2 0 958739750
-1.40 0.10 -0.32 2 2 958739755
-1.07 0.08 -0.21 100 4 958739760
-11.72 0.84 -1.86 38 6 958739764
-1.59 0.11 -0.20 86 8 958739769
-23.85 1.71 -2.09 6 10 958739773
-1.16 0.09 -0.31 2 0 958739806
-1.41 0.11 -0.33 2 2 958739810
-1.06 0.08 -0.21 100 4 958739815
-11.72 0.88 -1.86 20 6 958739819
-1.59 0.12 -0.20 89 8 958739824
-23.86 1.80 -2.09 6 10 958739829
-1.12 0.09 -0.30 2 0 958739861
-1.42 0.11 -0.33 2 2 958739865
-1.06 0.08 -0.21 100 4 958739870
-11.73 0.92 -1.86 28 6 958739875
-1.59 0.13 -0.20 74 8 958739879
-23.88 1.88 -2.10 6 10 958739884
-1.14 0.09 -0.31 4 0 958739916
-1.40 0.12 -0.33 2 2 958739921
-1.07 0.09 -0.21 100 4 958739925
-11.73 0.97 -1.86 6 6 958739930
-1.60 0.13 -0.20 89 8 958739935
-23.94 1.97 -2.10 6 10 958739939
-1.14 0.10 -0.31 4 0 958739971
-1.40 0.12 -0.32 3 2 958739976
-1.07 0.09 -0.21 98 4 958739981
-11.75 1.01 -1.87 8 6 958739985
-1.60 0.14 -0.20 86 8 958739990
-23.96 2.06 -2.10 6 10 958739994
-1.13 0.10 -0.30 2 0 958740027
-1.41 0.13 -0.33 2 2 958740031
-1.07 0.10 -0.21 96 4 958740036
-11.76 1.05 -1.87 9 6 958740041
-1.59 0.14 -0.20 83 8 958740045
-24.01 2.14 -2.11 6 10 958740050
-1.13 0.10 -0.30 2 0 958740082
-1.40 0.13 -0.32 1 2 958740087
-1.07 0.10 -0.21 98 4 958740091
-11.77 1.09 -1.87 9 6 958740096
-1.58 0.15 -0.20 74 8 958740100
-19.02 1.76 -1.67 3 10 958740105
-1.14 0.11 -0.31 2 0 958740137
-1.42 0.14 -0.33 1 2 958740142
-1.07 0.10 -0.21 96 4 958740146
-11.78 1.13 -1.87 9 6 958740151
-1.59 0.15 -0.20 86 8 958740156
-18.46 1.78 -1.62 1 10 958740160
-1.13 0.11 -0.30 4 0 958740193
-1.41 0.14 -0.33 2 2 958740197
-1.07 0.11 -0.21 90 4 958740202
-11.77 1.18 -1.87 8 6 958740206
-1.59 0.16 -0.20 77 8 958740211
-18.00 1.80 -1.58 1 10 958740216
-1.14 0.12 -0.31 2 0 958740248
-1.39 0.14 -0.32 2 2 958740252
-1.08 0.11 -0.21 96 4 958740257
-11.78 1.22 -1.88 8 6 958740262
-1.60 0.16 -0.20 83 8 958740266
-17.55 1.81 -1.54 1 10 958740271
-18.09 1.87 -0.95 2 12 958740276
-1.15 0.12 -0.31 2 0 958740303
-1.40 0.15 -0.32 2 2 958740308
-1.08 0.11 -0.21 92 4 958740312
-11.80 1.26 -1.88 8 6 958740317
-1.59 0.17 -0.20 80 8 958740322
-17.87 1.91 -0.94 2 12 958740331
