X Y Z Reflectivity LaserID Timestamp 
-1.15 0.01 -0.31 2 0 1402147256
-1.41 0.01 -0.33 2 2 1402147260
-1.06 0.01 -0.21 100 4 1402147265
-11.49 0.08 -1.82 4 6 1402147270
-1.59 0.01 -0.20 100 8 1402147274
-21.32 0.14 -1.87 7 10 1402147279
-1.14 0.01 -0.31 2 0 1402147311
-1.41 0.01 -0.33 2 2 1402147316
-1.06 0.01 -0.21 100 4 1402147320
-11.49 0.12 -1.82 5 6 1402147325
-1.60 0.02 -0.20 100 8 1402147330
-21.32 0.22 -1.86 7 10 1402147334
-1.13 0.02 -0.30 2 0 1402147366
-1.40 0.02 -0.32 3 2 1402147371
-1.06 0.01 -0.21 100 4 1402147376
-11.49 0.16 -1.82 4 6 1402147380
-1.60 0.02 -0.20 100 8 1402147385
-21.32 0.29 -1.87 7 10 1402147389
-1.14 0.02 -0.31 4 0 1402147422
-1.40 0.02 -0.32 2 2 1402147426
-1.06 0.02 -0.21 100 4 1402147431
-11.49 0.20 -1.82 7 6 1402147436
-1.60 0.03 -0.20 100 8 1402147440
-21.33 0.36 -1.87 7 10 1402147445
-1.15 0.02 -0.31 2 0 1402147477
-1.39 0.03 -0.32 1 2 1402147482
-1.06 0.02 -0.21 100 4 1402147486
-11.49 0.24 -1.82 7 6 1402147491
-1.59 0.03 -0.20 100 8 1402147495
-21.35 0.44 -1.87 7 10 1402147500
-1.14 0.03 -0.31 2 0 1402147532
-1.42 0.03 -0.33 2 2 1402147537
-1.05 0.03 -0.20 100 4 1402147542
-11.50 0.28 -1.82 7 6 1402147546
-1.59 0.04 -0.20 100 8 1402147551
-21.34 0.51 -1.87 7 10 1402147555
-1.14 0.03 -0.30 2 0 1402147589
-1.41 0.04 -0.33 2 2 1402147593
-1.06 0.03 -0.21 100 4 1402147598
-11.49 0.31 -1.82 7 6 1402147602
-1.60 0.04 -0.20 100 8 1402147607
-21.34 0.58 -1.87 7 10 1402147612
-1.14 0.04 -0.30 2 0 1402147644
-1.41 0.04 -0.33 3 2 1402147648
-1.07 0.03 -0.21 100 4 1402147653
-11.49 0.35 -1.82 7 6 1402147658
-1.59 0.05 -0.20 100 8 1402147662
-21.35 0.66 -1.87 7 10 1402147667
-1.15 0.04 -0.31 2 0 1402147699
-1.40 0.05 -0.32 2 2 1402147704
-1.07 0.04 -0.21 100 4 1402147708
-11.48 0.40 -1.82 7 6 1402147713
-1.60 0.06 -0.20 100 8 1402147718
-21.36 0.74 -1.87 7 10 1402147722
-1.14 0.04 -0.31 2 0 1402147754
-1.41 0.05 -0.33 2 2 1402147759
-1.07 0.04 -0.21 100 4 1402147764
-11.49 0.44 -1.82 7 6 1402147768
-1.59 0.06 -0.20 100 8 1402147773
-21.36 0.82 -1.87 7 10 1402147777
-1.13 0.05 -0.30 2 0 1402147810
-1.41 0.06 -0.33 2 2 1402147814
-1.06 0.04 -0.21 100 4 1402147819
-11.49 0.47 -1.82 7 6 1402147824
-1.59 0.07 -0.20 100 8 1402147828
-21.36 0.88 -1.87 9 10 1402147833
-1.13 0.05 -0.30 2 0 1402147865
-1.42 0.06 -0.33 1 2 1402147870
-1.06 0.05 -0.21 100 4 1402147874
-11.49 0.52 -1.82 7 6 1402147879
-1.59 0.07 -0.20 98 8 1402147883
-21.34 0.96 -1.87 47 10 1402147888
-1.12 0.05 -0.30 2 0 1402147920
-1.42 0.07 -0.33 2 2 1402147925
-1.07 0.05 -0.21 100 4 1402147929
-11.48 0.56 -1.82 7 6 1402147934
-1.60 0.08 -0.20 100 8 1402147939
-21.34 1.03 -1.87 23 10 1402147943
-1.12 0.06 -0.30 2 0 1402147976
-1.41 0.07 -0.33 1 2 1402147980
-1.07 0.06 -0.21 100 4 1402147985
-11.48 0.60 -1.82 7 6 1402147989
