
X Y Z V_r Mag
4.47425588347490155 5.89818211266418313 -0.568427562713623047 -3.00440025329589844 45.5
4.63809557419844776 5.87809820913443648 -0.431321620941162109 -2.67960023880004883 47
4.69141948243287832 5.84342192824509077 -0.308243244886398315 -2.76080012321472168 51.5
4.44509723505881471 6.03835885865006006 -0.171279355883598328 -3.24800014495849609 47
4.95037991503010133 5.72484764378651256 -0.317001640796661377 -2.51719999313354492 50.5
4.93147501970919588 5.73525989975239447 -0.409853518009185791 -2.59840011596679688 53
4.81144409533194128 5.83275647834201294 -0.457803010940551758 -2.67960023880004883 50.5
4.73316315107537289 5.89617658286147339 -0.461412012577056885 -2.76080012321472168 51.5
4.72261158975987883 5.90658883882735442 -0.435634821653366089 -2.84200000762939453 51.5
4.69114517213792759 5.9368790380008285 -0.356728136539459229 -2.92320013046264648 52
4.61428733048177175 6.00597855486531529 -0.131169587373733521 -3.00440025329589844 47.5
4.46945538260263397 6.11010111452413085 -0.266944468021392822 -3.08560013771057129 46
4.457124313781331 6.11862023304167035 -0.277782589197158813 -3.16680002212524414 50.5
4.49088904578262227 6.09874228983407818 -0.133750900626182556 -3.24800014495849609 50.5
4.48784056588984903 6.09874228983407818 -0.21274508535861969 -3.32920026779174805 47.5
4.98047864943127472 5.78630886067399341 -0.485760539770126343 -2.51719999313354492 49
4.93560958367907432 5.82072272470575669 -0.530514836311340332 -2.59840011596679688 52
4.8649612560441442 5.87329946142095061 -0.599171698093414307 -2.67960023880004883 50
4.84620459952352078 5.89050639343683269 -0.582011818885803223 -2.76080012321472168 47.5
4.77159329141365163 5.95455441816261466 -0.545602977275848389 -2.84200000762939453 47
4.78524762749816812 5.9602900621679078 -0.314408093690872192 -2.92320013046264648 50
4.50963289314787286 6.14287472966976367 -0.671417474746704102 -3.08560013771057129 47.5
4.4974060827536384 6.17059700902868435 -0.468582838773727417 -3.16680002212524414 46.5
4.68549032975323243 6.12490889440040487 -0.455302417278289795 -3.00440025329589844 48
5.67114506078696223 5.67384558655580129 0.214992567896842957 -1.78640007972717285 47
5.63672259337616932 5.71195200795720215 0.0399398133158683777 -1.86760008335113525 50.5
5.79439310768190108 5.65703213923462922 0.181669861078262329 -1.62400007247924805 50
5.80002126219349634 5.64488606915575719 0.324074089527130127 -1.70520007610321045 51.5
5.66101204556311455 5.79266325511536628 0.0894602313637733459 -1.86760008335113525 54.5
5.6601926903465829 5.79266325511536628 0.131425872445106506 -1.94880008697509766 52
5.84923222722152847 5.70941193077389375 0.140444815158843994 -1.54280006885528564 45
5.87837519801735287 5.67467941947557364 0.270820409059524536 -1.62400007247924805 55.5
5.93200620787503485 5.62258065252809303 0.168863996863365173 -1.70520007610321045 53
5.75073778829336479 5.80952328686905251 0.0953041836619377136 -1.78640007972717285 54
5.67128166443769111 5.88409603171544671 0.211210712790489197 -1.86760008335113525 49.5
5.7570095700470274 5.79726475346964598 0.281404644250869751 -1.94880008697509766 46
5.93411978298351439 5.72674056493998851 0.230578154325485229 -1.54280006885528564 45
5.9016964058095267 5.76179172231315828 0.185034111142158508 -1.62400007247924805 55
5.88521502943986263 5.77931730099974317 0.161977663636207581 -1.70520007610321045 56
5.83951352628742359 5.8246776223061989 0.18896995484828949 -1.78640007972717285 58.5
5.85855009867334076 5.80612112722628471 0.169850781559944153 -1.86760008335113525 50.5
5.82028923641466278 5.83911045181279764 -0.302535474300384521 -1.94880008697509766 46.5
5.91038209776623091 5.85890458350032706 0.21508614718914032 -1.70520007610321045 51.5
5.89260055291370399 5.87762977570611689 0.190687879920005798 -1.78640007972717285 52
6.5112573368146025 5.65616965183304465 0.0435140766203403473 -1.29920005798339844 49
6.50590605108493847 5.65616965183304465 0.267508715391159058 -1.38040006160736084 47
6.56737265074662258 5.70535423608840198 -0.0925274565815925598 -1.21800005435943604 49.5
6.56802453679150045 5.70535423608840198 -0.00177904265001416206 -1.29920005798339844 52.5
6.63565419549053193 5.62599241077695922 -0.0794790312647819519 -1.38040006160736084 46.5
6.30244543089704035 5.98366419882442191 0.40615236759185791 -1.54280006885528564 46
6.62464528901102856 5.75453819493579122 -0.00179437920451164246 -1.21800005435943604 46.5
7.39001946448835412 -4.86039612535767507 0.294387996196746826 -0.324800014495849609 46.5
7.39001946448835412 -4.86039612535767507 0.294387996196746826 -0.406000018119812012 46
7.42559448275881806 -4.81284276167385627 0.139974638819694519 -0.487200021743774414 48
7.41093410555302423 -4.8327488208903393 0.212364897131919861 -0.568400025367736816 48
7.47582599434296124 -4.8737042134519033 0.12108323723077774 -0.324800014495849609 60.5
7.48749369065553072 -4.85362945925461897 0.188005700707435608 -0.406000018119812012 66
7.48619017758842276 -4.85362945925461897 0.234238043427467346 -0.487200021743774414 65
7.49993878077080556 -4.83355470505733464 0.208081603050231934 -0.568400025367736816 58
7.45384295072851977 -4.8737042134519033 0.585544228553771973 -0.649600028991699219 45
